# Room Conditions hourly measurements
# Format: ISO-8601 timestamp, temperature(C), humidity(%), pressure(hPa)
timestamp temperature humidity pressure
2026-06-17T07:00:00+09:00 20.8 67.4 1009.8
2026-06-17T08:00:00+09:00 21.4 65.9 1010.0
2026-06-17T09:00:00+09:00 22.3 63.8 1010.3
2026-06-17T10:00:00+09:00 23.1 61.6 1010.7
2026-06-17T11:00:00+09:00 24.0 59.2 1010.9
2026-06-17T12:00:00+09:00 24.7 57.3 1011.1
2026-06-17T13:00:00+09:00 25.2 55.8 1011.0
2026-06-17T14:00:00+09:00 25.6 54.7 1010.8
2026-06-17T15:00:00+09:00 25.4 55.1 1010.5
2026-06-17T16:00:00+09:00 24.9 56.8 1010.3
2026-06-17T17:00:00+09:00 24.2 58.9 1010.2
2026-06-17T18:00:00+09:00 23.5 61.2 1010.4
2026-06-17T19:00:00+09:00 22.9 63.7 1010.8
2026-06-17T20:00:00+09:00 22.4 65.8 1011.2
2026-06-17T21:00:00+09:00 22.0 67.1 1011.7
2026-06-17T22:00:00+09:00 21.7 68.3 1012.1
2026-06-17T23:00:00+09:00 21.4 69.2 1012.4
2026-06-18T00:00:00+09:00 21.1 70.0 1012.6
2026-06-18T01:00:00+09:00 20.9 70.8 1012.7
2026-06-18T02:00:00+09:00 20.7 71.5 1012.6
2026-06-18T03:00:00+09:00 20.5 72.1 1012.4
2026-06-18T04:00:00+09:00 20.4 72.5 1012.2
2026-06-18T05:00:00+09:00 20.3 72.8 1012.0
2026-06-18T06:00:00+09:00 20.5 72.2 1011.9
2026-06-18T07:00:00+09:00 20.9 70.9 1012.0
2026-06-18T08:00:00+09:00 21.6 68.8 1012.2
2026-06-18T09:00:00+09:00 22.5 66.4 1012.5
2026-06-18T10:00:00+09:00 23.4 63.9 1012.7
2026-06-18T11:00:00+09:00 24.2 61.3 1012.8
2026-06-18T12:00:00+09:00 24.9 59.0 1012.7
2026-06-18T13:00:00+09:00 25.5 57.2 1012.5
2026-06-18T14:00:00+09:00 25.9 56.1 1012.2
2026-06-18T15:00:00+09:00 25.7 56.5 1011.9
2026-06-18T16:00:00+09:00 25.1 58.2 1011.7
2026-06-18T17:00:00+09:00 24.4 60.5 1011.6
2026-06-18T18:00:00+09:00 23.7 62.8 1011.8
2026-06-18T19:00:00+09:00 23.1 65.0 1012.1
2026-06-18T20:00:00+09:00 22.6 66.9 1012.5
2026-06-18T21:00:00+09:00 22.2 68.4 1012.9
2026-06-18T22:00:00+09:00 21.9 69.5 1013.2
2026-06-18T23:00:00+09:00 21.6 70.4 1013.4
2026-06-19T00:00:00+09:00 21.3 71.2 1013.5
2026-06-19T01:00:00+09:00 21.1 71.9 1013.4
2026-06-19T02:00:00+09:00 20.9 72.4 1013.2
2026-06-19T03:00:00+09:00 20.7 72.8 1013.0
2026-06-19T04:00:00+09:00 20.6 73.0 1012.8
2026-06-19T05:00:00+09:00 20.7 72.6 1012.7
2026-06-19T06:00:00+09:00 21.0 71.8 1012.8
