2016-08-29,0,29.65,66.55,993.24
2016-08-29,1,29.99,65.61,992.36
2016-08-29,2,30.21,66.35,991.48
2016-08-29,3,30.36,65.06,991.81
2016-08-29,4,30.37,64.05,992.38
2016-08-29,5,30.30,63.47,992.38
2016-08-29,6,30.24,63.07,992.81
2016-08-29,7,30.17,62.89,993.42
2016-08-29,8,30.07,61.86,993.68
2016-08-29,9,29.95,65.46,993.67
2016-08-29,10,29.86,65.46,993.72
2016-08-29,11,29.92,65.11,993.06
2016-08-29,12,30.04,64.17,992.32
2016-08-29,13,30.10,63.53,991.86
2016-08-29,14,30.21,62.84,991.19
2016-08-29,15,30.29,62.38,991.11
2016-08-29,16,30.39,61.99,991.75
2016-08-29,17,30.44,61.28,992.24
2016-08-29,18,30.40,60.82,992.77
2016-08-29,19,30.30,60.19,993.48
2016-08-29,20,29.94,59.09,994.80
2016-08-29,21,30.08,55.67,995.23
2016-08-29,22,30.13,54.51,994.95
2016-08-29,23,30.03,55.02,994.96
2016-08-30,0,29.99,55.68,995.14
2016-08-30,1,30.06,57.34,994.33
2016-08-30,2,29.87,57.43,994.26
2016-08-30,3,29.66,57.08,993.92
2016-08-30,4,29.42,56.95,994.44
2016-08-30,5,29.22,56.25,994.56
2016-08-30,6,29.03,56.39,994.95
2016-08-30,7,28.93,56.07,995.14
2016-08-30,8,29.63,53.87,995.18
2016-08-30,9,30.06,53.92,994.88
2016-08-30,10,30.33,52.94,994.64
2016-08-30,11,30.36,52.39,994.30
2016-08-30,12,30.21,52.38,993.78
2016-08-30,13,30.09,52.47,993.32
2016-08-30,14,30.02,52.87,992.36
2016-08-30,15,29.93,52.57,991.89
2016-08-30,16,29.89,52.59,991.93
2016-08-30,17,29.89,53.27,992.03
2016-08-30,18,29.80,53.26,991.73
2016-08-30,19,29.75,53.13,992.13
2016-08-30,20,28.96,60.18,992.55
2016-08-30,21,29.22,61.29,992.94
2016-08-30,22,29.33,61.99,993.39
2016-08-30,23,29.43,62.17,994.17
2016-08-31,0,29.39,62.12,994.17
2016-08-31,1,29.53,61.92,994.05
2016-08-31,2,29.59,62.48,994.14
2016-08-31,3,29.65,61.83,994.19
2016-08-31,4,29.72,60.20,995.04
2016-08-31,5,29.50,58.21,995.71
2016-08-31,6,29.38,56.74,996.65
2016-08-31,7,29.32,56.00,997.28
2016-08-31,8,30.00,53.59,997.99
2016-08-31,9,30.35,52.79,998.27
2016-08-31,10,30.64,50.98,998.73
2016-08-31,11,30.68,50.54,998.78
2016-08-31,12,30.60,50.38,998.99
2016-08-31,13,30.53,50.22,999.26
2016-08-31,14,30.38,50.34,999.25
2016-08-31,15,30.36,49.40,999.51
2016-08-31,16,30.30,50.13,1000.08
2016-08-31,17,30.30,48.76,1000.55
2016-08-31,18,30.35,48.73,1000.82
2016-08-31,19,30.28,48.70,1001.78
2016-08-31,20,30.07,52.22,1003.13
2016-08-31,21,29.98,50.91,1003.92
2016-08-31,22,30.01,51.56,1004.17
2016-08-31,23,29.96,52.08,1004.82
2016-09-01,0,29.81,54.72,1005.19
2016-09-01,1,30.32,53.49,1005.43
2016-09-01,2,30.36,53.36,1006.13
2016-09-01,3,30.29,53.68,1006.45
2016-09-01,4,30.14,53.69,1006.63
2016-09-01,5,30.00,54.02,1007.03
2016-09-01,6,29.86,54.06,1007.65
2016-09-01,7,29.74,54.10,1008.53
2016-09-01,8,29.92,54.00,1009.09
2016-09-01,9,30.23,53.97,1009.59
2016-09-01,10,30.43,55.06,1009.50
2016-09-01,11,30.54,54.38,1009.31
2016-09-01,12,30.67,53.90,1009.08
2016-09-01,13,30.69,53.68,1009.09
2016-09-01,14,30.77,53.22,1009.01
2016-09-01,15,30.78,53.02,1008.36
2016-09-01,16,30.80,53.08,1008.30
2016-09-01,17,30.71,53.00,1008.89
2016-09-01,18,30.76,52.77,1009.02
2016-09-01,19,30.71,53.93,1009.07
2016-09-01,20,29.82,62.85,1009.99
2016-09-01,21,29.90,62.60,1010.39
2016-09-01,22,30.01,62.04,1010.36
2016-09-01,23,30.00,60.39,1010.62
2016-09-02,0,30.20,61.31,1010.60
2016-09-02,1,30.34,60.75,1010.40
2016-09-02,2,30.32,60.92,1010.58
2016-09-02,3,30.17,60.31,1010.43
2016-09-02,4,30.06,59.07,1009.89
2016-09-02,5,29.92,58.67,1010.52
2016-09-02,6,29.78,58.49,1011.06
2016-09-02,7,29.70,58.19,1011.21
2016-09-02,8,30.06,57.01,1011.49
2016-09-02,9,30.37,57.10,1011.68
2016-09-02,10,30.55,56.90,1011.66
2016-09-02,11,30.70,56.96,1011.23
2016-09-02,12,30.74,56.69,1010.65
2016-09-02,13,30.80,56.38,1010.47
2016-09-02,14,30.86,56.08,1009.93
2016-09-02,15,30.86,56.24,1009.59
2016-09-02,16,30.96,56.12,1009.27
2016-09-02,17,31.06,56.31,1009.15
2016-09-02,18,30.99,56.90,1009.12
2016-09-02,19,31.02,56.91,1009.56
2016-09-02,20,30.73,59.13,1010.27
2016-09-02,21,30.95,58.96,1010.62
2016-09-02,22,31.07,58.71,1010.89
2016-09-02,23,31.13,58.73,1010.83
2016-09-03,0,31.42,60.16,1010.76
2016-09-03,1,31.50,60.13,1010.76
2016-09-03,2,31.42,59.47,1010.46
2016-09-03,3,31.29,59.62,1010.23
2016-09-03,4,31.18,59.25,1010.19
2016-09-03,5,31.07,59.29,1010.62
2016-09-03,6,30.97,59.26,1010.99
2016-09-03,7,30.92,59.50,1011.64
2016-09-03,8,31.49,58.91,1011.86
